AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,W%,B_index,LV2,wOBA
Yankees,Rockies,W,0.518518519,44.8,30.4,0.311,0.462962963,48.8,26.66,0.339
Twins,Angels,W,0.364197531,47.9,26.48,0.317,0.456790123,42.4,25.16,0.314
Rangers,Athletics,L,0.586419753,46.2,25.24,0.324,0.425925926,43.6,26.37,0.302
Marlins,Padres,L,0.49068323,46.1,28.77,0.309,0.419753086,48.5,26.19,0.297
Brewers,Giants,W,0.450617284,49.9,25.31,0.315,0.537037037,43.5,28.27,0.315
Yankees,Rockies,W,0.518518519,44.8,30.4,0.311,0.462962963,48.8,26.66,0.339
Marlins,Padres,W,0.49068323,46.1,28.77,0.309,0.419753086,48.5,26.19,0.297
Brewers,Giants,W,0.450617284,49.9,25.31,0.315,0.537037037,43.5,28.27,0.315
Cubs,Nationals,W,0.635802469,46.7,30.36,0.333,0.586419753,45.8,31.17,0.322
BlueJays,Phillies,L,0.549382716,46.7,28.14,0.327,0.438271605,47,28.53,0.296
Orioles,RedSox,W,0.549382716,47.3,26.91,0.326,0.574074074,46.6,29.18,0.346
Reds,Braves,W,0.419753086,46.7,26.46,0.311,0.422360248,45.5,26.35,0.304
Pirates,Mets,W,0.481481481,47,26.13,0.318,0.537037037,45.9,29.76,0.315
Mariners,Rays,W,0.530864198,46.6,28.27,0.325,0.419753086,48.8,29.26,0.315
Astros,Cardinals,L,0.518518519,48.1,29.74,0.317,0.530864198,46.7,27.7,0.329
Tigers,WhiteSox,W,0.534161491,48,27.31,0.33,0.481481481,46.7,27.06,0.314
Indians,Royals,W,0.583850932,46.4,30.09,0.326,0.5,46.3,27.5,0.307
Twins,Angels,W,0.364197531,47.9,26.48,0.317,0.456790123,42.4,25.16,0.314
Rangers,Athletics,L,0.586419753,46.2,25.24,0.324,0.425925926,43.6,26.37,0.302
Reds,Braves,W,0.419753086,46.7,26.46,0.311,0.422360248,45.5,26.35,0.304
Mariners,Rays,L,0.530864198,46.6,28.27,0.325,0.419753086,48.8,29.26,0.315
Rangers,Athletics,L,0.586419753,46.2,25.24,0.324,0.425925926,43.6,26.37,0.302
BlueJays,Phillies,L,0.549382716,46.7,28.14,0.327,0.438271605,47,28.53,0.296
Orioles,RedSox,L,0.549382716,47.3,26.91,0.326,0.574074074,46.6,29.18,0.346
Pirates,Mets,W,0.481481481,47,26.13,0.318,0.537037037,45.9,29.76,0.315
Yankees,Twins,L,0.518518519,44.8,30.4,0.311,0.364197531,47.9,26.48,0.317
Tigers,Royals,L,0.534161491,48,27.31,0.33,0.5,46.3,27.5,0.307
Brewers,Dodgers,L,0.450617284,49.9,25.31,0.315,0.561728395,46.3,32.05,0.314
Nationals,Padres,L,0.586419753,45.8,31.17,0.322,0.419753086,48.5,26.19,0.297
Pirates,Cubs,W,0.481481481,47,26.13,0.318,0.635802469,46.7,30.36,0.333
BlueJays,Orioles,L,0.549382716,46.7,28.14,0.327,0.549382716,47.3,26.91,0.326
Braves,Mets,L,0.422360248,45.5,26.35,0.304,0.537037037,45.9,29.76,0.315
WhiteSox,Indians,W,0.481481481,46.7,27.06,0.314,0.583850932,46.4,30.09,0.326
Rockies,Marlins,W,0.462962963,48.8,26.66,0.339,0.49068323,46.1,28.77,0.309
Giants,Rays,L,0.537037037,43.5,28.27,0.315,0.419753086,48.8,29.26,0.315
Mariners,RedSox,L,0.530864198,46.6,28.27,0.325,0.574074074,46.6,29.18,0.346
Reds,Astros,L,0.419753086,46.7,26.46,0.311,0.518518519,48.1,29.74,0.317
Yankees,Twins,L,0.518518519,44.8,30.4,0.311,0.364197531,47.9,26.48,0.317
Tigers,Royals,W,0.534161491,48,27.31,0.33,0.5,46.3,27.5,0.307
Rangers,Cardinals,L,0.586419753,46.2,25.24,0.324,0.530864198,46.7,27.7,0.329
Angels,Athletics,W,0.456790123,42.4,25.16,0.314,0.425925926,43.6,26.37,0.302
Brewers,Dodgers,W,0.450617284,49.9,25.31,0.315,0.561728395,46.3,32.05,0.314
Nationals,Padres,L,0.586419753,45.8,31.17,0.322,0.419753086,48.5,26.19,0.297
Yankees,Twins,L,0.518518519,44.8,30.4,0.311,0.364197531,47.9,26.48,0.317
Angels,Athletics,L,0.456790123,42.4,25.16,0.314,0.425925926,43.6,26.37,0.302
Mariners,RedSox,W,0.530864198,46.6,28.27,0.325,0.574074074,46.6,29.18,0.346
BlueJays,Orioles,W,0.549382716,46.7,28.14,0.327,0.549382716,47.3,26.91,0.326
Reds,Astros,W,0.419753086,46.7,26.46,0.311,0.518518519,48.1,29.74,0.317
Rockies,Marlins,W,0.462962963,48.8,26.66,0.339,0.49068323,46.1,28.77,0.309
Giants,Rays,L,0.537037037,43.5,28.27,0.315,0.419753086,48.8,29.26,0.315
Rangers,Cardinals,L,0.586419753,46.2,25.24,0.324,0.530864198,46.7,27.7,0.329
WhiteSox,Indians,W,0.481481481,46.7,27.06,0.314,0.583850932,46.4,30.09,0.326
Braves,Mets,L,0.422360248,45.5,26.35,0.304,0.537037037,45.9,29.76,0.315
Tigers,Royals,W,0.534161491,48,27.31,0.33,0.5,46.3,27.5,0.307
Pirates,Cubs,W,0.481481481,47,26.13,0.318,0.635802469,46.7,30.36,0.333
Brewers,Dodgers,W,0.450617284,49.9,25.31,0.315,0.561728395,46.3,32.05,0.314
Nationals,Padres,W,0.586419753,45.8,31.17,0.322,0.419753086,48.5,26.19,0.297
Braves,Mets,L,0.422360248,45.5,26.35,0.304,0.537037037,45.9,29.76,0.315
WhiteSox,Indians,W,0.481481481,46.7,27.06,0.314,0.583850932,46.4,30.09,0.326
Rockies,Marlins,W,0.462962963,48.8,26.66,0.339,0.49068323,46.1,28.77,0.309
Giants,Rays,L,0.537037037,43.5,28.27,0.315,0.419753086,48.8,29.26,0.315
Mariners,RedSox,W,0.530864198,46.6,28.27,0.325,0.574074074,46.6,29.18,0.346
BlueJays,Orioles,W,0.549382716,46.7,28.14,0.327,0.549382716,47.3,26.91,0.326
Reds,Astros,W,0.419753086,46.7,26.46,0.311,0.518518519,48.1,29.74,0.317
Yankees,Twins,W,0.518518519,44.8,30.4,0.311,0.364197531,47.9,26.48,0.317
Tigers,Royals,W,0.534161491,48,27.31,0.33,0.5,46.3,27.5,0.307
Rangers,Cardinals,L,0.586419753,46.2,25.24,0.324,0.530864198,46.7,27.7,0.329
Angels,Athletics,L,0.456790123,42.4,25.16,0.314,0.425925926,43.6,26.37,0.302
Brewers,Dodgers,W,0.450617284,49.9,25.31,0.315,0.561728395,46.3,32.05,0.314
Nationals,Padres,W,0.586419753,45.8,31.17,0.322,0.419753086,48.5,26.19,0.297
Pirates,Cubs,W,0.481481481,47,26.13,0.318,0.635802469,46.7,30.36,0.333
Giants,Pirates,W,0.537037037,43.5,28.27,0.315,0.481481481,47,26.13,0.318
WhiteSox,RedSox,L,0.481481481,46.7,27.06,0.314,0.574074074,46.6,29.18,0.346
Rockies,Marlins,L,0.462962963,48.8,26.66,0.339,0.49068323,46.1,28.77,0.309
Mariners,Tigers,W,0.530864198,46.6,28.27,0.325,0.534161491,48,27.31,0.33
Rays,Indians,W,0.419753086,48.8,29.26,0.315,0.583850932,46.4,30.09,0.326
Orioles,Rangers,W,0.549382716,47.3,26.91,0.326,0.586419753,46.2,25.24,0.324
Cardinals,Cubs,L,0.530864198,46.7,27.7,0.329,0.635802469,46.7,30.36,0.333
Angels,Astros,W,0.456790123,42.4,25.16,0.314,0.518518519,48.1,29.74,0.317
Nationals,Dodgers,W,0.586419753,45.8,31.17,0.322,0.561728395,46.3,32.05,0.314
Rockies,Yankees,L,0.462962963,48.8,26.66,0.339,0.518518519,44.8,30.4,0.311
Padres,Orioles,L,0.419753086,48.5,26.19,0.297,0.549382716,47.3,26.91,0.326
Giants,Pirates,L,0.537037037,43.5,28.27,0.315,0.481481481,47,26.13,0.318
Braves,Marlins,L,0.422360248,45.5,26.35,0.304,0.49068323,46.1,28.77,0.309
WhiteSox,RedSox,L,0.481481481,46.7,27.06,0.314,0.574074074,46.6,29.18,0.346
Royals,Mets,W,0.5,46.3,27.5,0.307,0.537037037,45.9,29.76,0.315
Mariners,Tigers,W,0.530864198,46.6,28.27,0.325,0.534161491,48,27.31,0.33
Rays,Indians,W,0.419753086,48.8,29.26,0.315,0.583850932,46.4,30.09,0.326
Reds,Rangers,L,0.419753086,46.7,26.46,0.311,0.586419753,46.2,25.24,0.324
Cardinals,Cubs,L,0.530864198,46.7,27.7,0.329,0.635802469,46.7,30.36,0.333
Angels,Astros,W,0.456790123,42.4,25.16,0.314,0.518518519,48.1,29.74,0.317
Phillies,Twins,W,0.438271605,47,28.53,0.296,0.364197531,47.9,26.48,0.317
Brewers,Athletics,W,0.450617284,49.9,25.31,0.315,0.425925926,43.6,26.37,0.302
Nationals,Dodgers,W,0.586419753,45.8,31.17,0.322,0.561728395,46.3,32.05,0.314
Braves,Marlins,W,0.422360248,45.5,26.35,0.304,0.49068323,46.1,28.77,0.309
Rockies,Yankees,W,0.462962963,48.8,26.66,0.339,0.518518519,44.8,30.4,0.311
Royals,Mets,W,0.5,46.3,27.5,0.307,0.537037037,45.9,29.76,0.315
Angels,Astros,W,0.456790123,42.4,25.16,0.314,0.518518519,48.1,29.74,0.317
Cardinals,Cubs,L,0.530864198,46.7,27.7,0.329,0.635802469,46.7,30.36,0.333
Brewers,Athletics,L,0.450617284,49.9,25.31,0.315,0.425925926,43.6,26.37,0.302
Padres,Orioles,W,0.419753086,48.5,26.19,0.297,0.549382716,47.3,26.91,0.326
Giants,Pirates,L,0.537037037,43.5,28.27,0.315,0.481481481,47,26.13,0.318
WhiteSox,RedSox,L,0.481481481,46.7,27.06,0.314,0.574074074,46.6,29.18,0.346
Mariners,Tigers,W,0.530864198,46.6,28.27,0.325,0.534161491,48,27.31,0.33
Rays,Indians,W,0.419753086,48.8,29.26,0.315,0.583850932,46.4,30.09,0.326
Reds,Rangers,W,0.419753086,46.7,26.46,0.311,0.586419753,46.2,25.24,0.324
Phillies,Twins,W,0.438271605,47,28.53,0.296,0.364197531,47.9,26.48,0.317
Nationals,Dodgers,W,0.586419753,45.8,31.17,0.322,0.561728395,46.3,32.05,0.314
Giants,Pirates,L,0.537037037,43.5,28.27,0.315,0.481481481,47,26.13,0.318
Phillies,Twins,L,0.438271605,47,28.53,0.296,0.364197531,47.9,26.48,0.317
Mariners,Tigers,W,0.530864198,46.6,28.27,0.325,0.534161491,48,27.31,0.33
WhiteSox,RedSox,W,0.481481481,46.7,27.06,0.314,0.574074074,46.6,29.18,0.346
Cubs,Marlins,W,0.635802469,46.7,30.36,0.333,0.49068323,46.1,28.77,0.309
Mets,Braves,W,0.537037037,45.9,29.76,0.315,0.422360248,45.5,26.35,0.304
Padres,Reds,L,0.419753086,48.5,26.19,0.297,0.419753086,46.7,26.46,0.311
Athletics,Angels,L,0.425925926,43.6,26.37,0.302,0.456790123,42.4,25.16,0.314
Dodgers,Pirates,W,0.561728395,46.3,32.05,0.314,0.481481481,47,26.13,0.318
Twins,Yankees,W,0.364197531,47.9,26.48,0.317,0.518518519,44.8,30.4,0.311
Rays,Orioles,W,0.419753086,48.8,29.26,0.315,0.549382716,47.3,26.91,0.326
Cubs,Marlins,L,0.635802469,46.7,30.36,0.333,0.49068323,46.1,28.77,0.309
Indians,Tigers,L,0.583850932,46.4,30.09,0.326,0.534161491,48,27.31,0.33
Padres,Reds,L,0.419753086,48.5,26.19,0.297,0.419753086,46.7,26.46,0.311
Mets,Braves,L,0.537037037,45.9,29.76,0.315,0.422360248,45.5,26.35,0.304
RedSox,Rangers,L,0.574074074,46.6,29.18,0.346,0.586419753,46.2,25.24,0.324
BlueJays,WhiteSox,W,0.549382716,46.7,28.14,0.327,0.481481481,46.7,27.06,0.314
Nationals,Brewers,W,0.586419753,45.8,31.17,0.322,0.450617284,49.9,25.31,0.315
Astros,Royals,L,0.518518519,48.1,29.74,0.317,0.5,46.3,27.5,0.307
Athletics,Angels,L,0.425925926,43.6,26.37,0.302,0.456790123,42.4,25.16,0.314
Cardinals,Mariners,W,0.530864198,46.7,27.7,0.329,0.530864198,46.6,28.27,0.325
Phillies,Giants,W,0.438271605,47,28.53,0.296,0.537037037,43.5,28.27,0.315
Twins,Yankees,W,0.364197531,47.9,26.48,0.317,0.518518519,44.8,30.4,0.311
Rays,Orioles,W,0.419753086,48.8,29.26,0.315,0.549382716,47.3,26.91,0.326
Rays,Orioles,W,0.419753086,48.8,29.26,0.315,0.549382716,47.3,26.91,0.326
BlueJays,WhiteSox,L,0.549382716,46.7,28.14,0.327,0.481481481,46.7,27.06,0.314
Cubs,Marlins,W,0.635802469,46.7,30.36,0.333,0.49068323,46.1,28.77,0.309
Indians,Tigers,L,0.583850932,46.4,30.09,0.326,0.534161491,48,27.31,0.33
Padres,Reds,L,0.419753086,48.5,26.19,0.297,0.419753086,46.7,26.46,0.311
Nationals,Brewers,W,0.586419753,45.8,31.17,0.322,0.450617284,49.9,25.31,0.315
Astros,Royals,L,0.518518519,48.1,29.74,0.317,0.5,46.3,27.5,0.307
Dodgers,Pirates,W,0.561728395,46.3,32.05,0.314,0.481481481,47,26.13,0.318
Mets,Braves,L,0.537037037,45.9,29.76,0.315,0.422360248,45.5,26.35,0.304
RedSox,Rangers,W,0.574074074,46.6,29.18,0.346,0.586419753,46.2,25.24,0.324
Athletics,Angels,L,0.425925926,43.6,26.37,0.302,0.456790123,42.4,25.16,0.314
Phillies,Giants,L,0.438271605,47,28.53,0.296,0.537037037,43.5,28.27,0.315
Cardinals,Mariners,W,0.530864198,46.7,27.7,0.329,0.530864198,46.6,28.27,0.325
Twins,Yankees,L,0.364197531,47.9,26.48,0.317,0.518518519,44.8,30.4,0.311
Cubs,Marlins,W,0.635802469,46.7,30.36,0.333,0.49068323,46.1,28.77,0.309
Indians,Tigers,L,0.583850932,46.4,30.09,0.326,0.534161491,48,27.31,0.33
Padres,Reds,W,0.419753086,48.5,26.19,0.297,0.419753086,46.7,26.46,0.311
Mets,Braves,W,0.537037037,45.9,29.76,0.315,0.422360248,45.5,26.35,0.304
Rays,Orioles,W,0.419753086,48.8,29.26,0.315,0.549382716,47.3,26.91,0.326
BlueJays,WhiteSox,W,0.549382716,46.7,28.14,0.327,0.481481481,46.7,27.06,0.314
Nationals,Brewers,L,0.586419753,45.8,31.17,0.322,0.450617284,49.9,25.31,0.315
Astros,Royals,W,0.518518519,48.1,29.74,0.317,0.5,46.3,27.5,0.307
RedSox,Rangers,W,0.574074074,46.6,29.18,0.346,0.586419753,46.2,25.24,0.324
Athletics,Angels,W,0.425925926,43.6,26.37,0.302,0.456790123,42.4,25.16,0.314
Phillies,Giants,W,0.438271605,47,28.53,0.296,0.537037037,43.5,28.27,0.315
Cardinals,Mariners,L,0.530864198,46.7,27.7,0.329,0.530864198,46.6,28.27,0.325
Dodgers,Pirates,W,0.561728395,46.3,32.05,0.314,0.481481481,47,26.13,0.318
Dodgers,Pirates,L,0.561728395,46.3,32.05,0.314,0.481481481,47,26.13,0.318
Mets,Nationals,W,0.537037037,45.9,29.76,0.315,0.586419753,45.8,31.17,0.322
Rangers,Yankees,L,0.586419753,46.2,25.24,0.324,0.518518519,44.8,30.4,0.311
RedSox,Rays,W,0.574074074,46.6,29.18,0.346,0.419753086,48.8,29.26,0.315
Cubs,Reds,L,0.635802469,46.7,30.36,0.333,0.419753086,46.7,26.46,0.311
Indians,Braves,L,0.583850932,46.4,30.09,0.326,0.422360248,45.5,26.35,0.304
Cardinals,Royals,W,0.530864198,46.7,27.7,0.329,0.5,46.3,27.5,0.307
BlueJays,Rockies,W,0.549382716,46.7,28.14,0.327,0.462962963,48.8,26.66,0.339
Astros,Angels,L,0.518518519,48.1,29.74,0.317,0.456790123,42.4,25.16,0.314
Athletics,Giants,L,0.425925926,43.6,26.37,0.302,0.537037037,43.5,28.27,0.315
Mets,Nationals,W,0.537037037,45.9,29.76,0.315,0.586419753,45.8,31.17,0.322
Rangers,Yankees,L,0.586419753,46.2,25.24,0.324,0.518518519,44.8,30.4,0.311
RedSox,Rays,L,0.574074074,46.6,29.18,0.346,0.419753086,48.8,29.26,0.315
Cubs,Reds,L,0.635802469,46.7,30.36,0.333,0.419753086,46.7,26.46,0.311
Indians,Braves,L,0.583850932,46.4,30.09,0.326,0.422360248,45.5,26.35,0.304
Marlins,Tigers,W,0.49068323,46.1,28.77,0.309,0.534161491,48,27.31,0.33
Dodgers,Brewers,L,0.561728395,46.3,32.05,0.314,0.450617284,49.9,25.31,0.315
Twins,WhiteSox,L,0.364197531,47.9,26.48,0.317,0.481481481,46.7,27.06,0.314
Cardinals,Royals,L,0.530864198,46.7,27.7,0.329,0.5,46.3,27.5,0.307
BlueJays,Rockies,L,0.549382716,46.7,28.14,0.327,0.462962963,48.8,26.66,0.339
Astros,Angels,L,0.518518519,48.1,29.74,0.317,0.456790123,42.4,25.16,0.314
Orioles,Padres,L,0.549382716,47.3,26.91,0.326,0.419753086,48.5,26.19,0.297
Pirates,Mariners,W,0.481481481,47,26.13,0.318,0.530864198,46.6,28.27,0.325
Athletics,Giants,L,0.425925926,43.6,26.37,0.302,0.537037037,43.5,28.27,0.315
RedSox,Rays,W,0.574074074,46.6,29.18,0.346,0.419753086,48.8,29.26,0.315
Cubs,Reds,L,0.635802469,46.7,30.36,0.333,0.419753086,46.7,26.46,0.311
Marlins,Tigers,W,0.49068323,46.1,28.77,0.309,0.534161491,48,27.31,0.33
BlueJays,Rockies,L,0.549382716,46.7,28.14,0.327,0.462962963,48.8,26.66,0.339
Astros,Angels,L,0.518518519,48.1,29.74,0.317,0.456790123,42.4,25.16,0.314
Orioles,Padres,L,0.549382716,47.3,26.91,0.326,0.419753086,48.5,26.19,0.297
Mets,Nationals,W,0.537037037,45.9,29.76,0.315,0.586419753,45.8,31.17,0.322
Rangers,Yankees,W,0.586419753,46.2,25.24,0.324,0.518518519,44.8,30.4,0.311
Indians,Braves,L,0.583850932,46.4,30.09,0.326,0.422360248,45.5,26.35,0.304
Dodgers,Brewers,W,0.561728395,46.3,32.05,0.314,0.450617284,49.9,25.31,0.315
Twins,WhiteSox,W,0.364197531,47.9,26.48,0.317,0.481481481,46.7,27.06,0.314
Royals,Cardinals,L,0.5,46.3,27.5,0.307,0.530864198,46.7,27.7,0.329
Giants,Athletics,W,0.537037037,43.5,28.27,0.315,0.425925926,43.6,26.37,0.302
Pirates,Mariners,L,0.481481481,47,26.13,0.318,0.530864198,46.6,28.27,0.325
Rangers,Yankees,W,0.586419753,46.2,25.24,0.324,0.518518519,44.8,30.4,0.311
Dodgers,Brewers,L,0.561728395,46.3,32.05,0.314,0.450617284,49.9,25.31,0.315
Twins,WhiteSox,W,0.364197531,47.9,26.48,0.317,0.481481481,46.7,27.06,0.314
Reds,Nationals,W,0.419753086,46.7,26.46,0.311,0.586419753,45.8,31.17,0.322
Indians,BlueJays,L,0.583850932,46.4,30.09,0.326,0.549382716,46.7,28.14,0.327
Cubs,Mets,W,0.635802469,46.7,30.36,0.333,0.537037037,45.9,29.76,0.315
Tigers,Rays,L,0.534161491,48,27.31,0.33,0.419753086,48.8,29.26,0.315
Marlins,Braves,W,0.49068323,46.1,28.77,0.309,0.422360248,45.5,26.35,0.304
Royals,Cardinals,L,0.5,46.3,27.5,0.307,0.530864198,46.7,27.7,0.329
Giants,Athletics,L,0.537037037,43.5,28.27,0.315,0.425925926,43.6,26.37,0.302
Orioles,Mariners,W,0.549382716,47.3,26.91,0.326,0.530864198,46.6,28.27,0.325
Indians,BlueJays,L,0.583850932,46.4,30.09,0.326,0.549382716,46.7,28.14,0.327
Reds,Nationals,W,0.419753086,46.7,26.46,0.311,0.586419753,45.8,31.17,0.322
Royals,Phillies,W,0.5,46.3,27.5,0.307,0.438271605,47,28.53,0.296
Cubs,Mets,W,0.635802469,46.7,30.36,0.333,0.537037037,45.9,29.76,0.315
Tigers,Rays,L,0.534161491,48,27.31,0.33,0.419753086,48.8,29.26,0.315
Angels,RedSox,W,0.456790123,42.4,25.16,0.314,0.574074074,46.6,29.18,0.346
Marlins,Braves,L,0.49068323,46.1,28.77,0.309,0.422360248,45.5,26.35,0.304
WhiteSox,Astros,W,0.481481481,46.7,27.06,0.314,0.518518519,48.1,29.74,0.317
Rangers,Twins,L,0.586419753,46.2,25.24,0.324,0.364197531,47.9,26.48,0.317
Brewers,Cardinals,W,0.450617284,49.9,25.31,0.315,0.530864198,46.7,27.7,0.329
Pirates,Athletics,L,0.481481481,47,26.13,0.318,0.425925926,43.6,26.37,0.302
Orioles,Mariners,W,0.549382716,47.3,26.91,0.326,0.530864198,46.6,28.27,0.325
Rockies,Dodgers,W,0.462962963,48.8,26.66,0.339,0.561728395,46.3,32.05,0.314
Yankees,Padres,W,0.518518519,44.8,30.4,0.311,0.419753086,48.5,26.19,0.297
Indians,BlueJays,W,0.583850932,46.4,30.09,0.326,0.549382716,46.7,28.14,0.327
Rangers,Twins,W,0.586419753,46.2,25.24,0.324,0.364197531,47.9,26.48,0.317
Brewers,Cardinals,W,0.450617284,49.9,25.31,0.315,0.530864198,46.7,27.7,0.329
WhiteSox,Astros,L,0.481481481,46.7,27.06,0.314,0.518518519,48.1,29.74,0.317
Tigers,Rays,L,0.534161491,48,27.31,0.33,0.419753086,48.8,29.26,0.315
Marlins,Braves,W,0.49068323,46.1,28.77,0.309,0.422360248,45.5,26.35,0.304
Royals,Phillies,L,0.5,46.3,27.5,0.307,0.438271605,47,28.53,0.296
Cubs,Mets,W,0.635802469,46.7,30.36,0.333,0.537037037,45.9,29.76,0.315
Reds,Nationals,L,0.419753086,46.7,26.46,0.311,0.586419753,45.8,31.17,0.322
Angels,RedSox,L,0.456790123,42.4,25.16,0.314,0.574074074,46.6,29.18,0.346
Pirates,Athletics,L,0.481481481,47,26.13,0.318,0.425925926,43.6,26.37,0.302
Orioles,Mariners,W,0.549382716,47.3,26.91,0.326,0.530864198,46.6,28.27,0.325
Rockies,Dodgers,W,0.462962963,48.8,26.66,0.339,0.561728395,46.3,32.05,0.314
Yankees,Padres,W,0.518518519,44.8,30.4,0.311,0.419753086,48.5,26.19,0.297
Indians,BlueJays,W,0.583850932,46.4,30.09,0.326,0.549382716,46.7,28.14,0.327
Cubs,Mets,W,0.635802469,46.7,30.36,0.333,0.537037037,45.9,29.76,0.315
Tigers,Rays,L,0.534161491,48,27.31,0.33,0.419753086,48.8,29.26,0.315
Reds,Nationals,W,0.419753086,46.7,26.46,0.311,0.586419753,45.8,31.17,0.322
Royals,Phillies,W,0.5,46.3,27.5,0.307,0.438271605,47,28.53,0.296
Angels,RedSox,W,0.456790123,42.4,25.16,0.314,0.574074074,46.6,29.18,0.346
WhiteSox,Astros,L,0.481481481,46.7,27.06,0.314,0.518518519,48.1,29.74,0.317
Rangers,Twins,W,0.586419753,46.2,25.24,0.324,0.364197531,47.9,26.48,0.317
Brewers,Cardinals,W,0.450617284,49.9,25.31,0.315,0.530864198,46.7,27.7,0.329
Pirates,Athletics,L,0.481481481,47,26.13,0.318,0.425925926,43.6,26.37,0.302
Orioles,Mariners,W,0.549382716,47.3,26.91,0.326,0.530864198,46.6,28.27,0.325
Rockies,Dodgers,W,0.462962963,48.8,26.66,0.339,0.561728395,46.3,32.05,0.314
Yankees,Padres,L,0.518518519,44.8,30.4,0.311,0.419753086,48.5,26.19,0.297
Marlins,Braves,L,0.49068323,46.1,28.77,0.309,0.422360248,45.5,26.35,0.304
Brewers,Nationals,L,0.450617284,49.9,25.31,0.315,0.586419753,45.8,31.17,0.322
Angels,Rays,W,0.456790123,42.4,25.16,0.314,0.419753086,48.8,29.26,0.315
Rangers,RedSox,W,0.586419753,46.2,25.24,0.324,0.574074074,46.6,29.18,0.346
Yankees,WhiteSox,W,0.518518519,44.8,30.4,0.311,0.481481481,46.7,27.06,0.314
Athletics,Twins,L,0.425925926,43.6,26.37,0.302,0.364197531,47.9,26.48,0.317
Mariners,Astros,W,0.530864198,46.6,28.27,0.325,0.518518519,48.1,29.74,0.317
Pirates,Cardinals,L,0.481481481,47,26.13,0.318,0.530864198,46.7,27.7,0.329
Reds,Cubs,W,0.419753086,46.7,26.46,0.311,0.635802469,46.7,30.36,0.333
Braves,Phillies,W,0.422360248,45.5,26.35,0.304,0.438271605,47,28.53,0.296
Rockies,Giants,W,0.462962963,48.8,26.66,0.339,0.537037037,43.5,28.27,0.315
Marlins,Mets,W,0.49068323,46.1,28.77,0.309,0.537037037,45.9,29.76,0.315
Royals,BlueJays,W,0.5,46.3,27.5,0.307,0.549382716,46.7,28.14,0.327
Tigers,Indians,W,0.534161491,48,27.31,0.33,0.583850932,46.4,30.09,0.326
Orioles,Dodgers,W,0.549382716,47.3,26.91,0.326,0.561728395,46.3,32.05,0.314
Reds,Cubs,L,0.419753086,46.7,26.46,0.311,0.635802469,46.7,30.36,0.333
Braves,Phillies,W,0.422360248,45.5,26.35,0.304,0.438271605,47,28.53,0.296
Brewers,Nationals,L,0.450617284,49.9,25.31,0.315,0.586419753,45.8,31.17,0.322
Royals,BlueJays,W,0.5,46.3,27.5,0.307,0.549382716,46.7,28.14,0.327
Tigers,Indians,W,0.534161491,48,27.31,0.33,0.583850932,46.4,30.09,0.326
Angels,Rays,L,0.456790123,42.4,25.16,0.314,0.419753086,48.8,29.26,0.315
Marlins,Mets,L,0.49068323,46.1,28.77,0.309,0.537037037,45.9,29.76,0.315
Rangers,RedSox,L,0.586419753,46.2,25.24,0.324,0.574074074,46.6,29.18,0.346
Pirates,Cardinals,L,0.481481481,47,26.13,0.318,0.530864198,46.7,27.7,0.329
Yankees,WhiteSox,L,0.518518519,44.8,30.4,0.311,0.481481481,46.7,27.06,0.314
Athletics,Twins,W,0.425925926,43.6,26.37,0.302,0.364197531,47.9,26.48,0.317
Mariners,Astros,W,0.530864198,46.6,28.27,0.325,0.518518519,48.1,29.74,0.317
Orioles,Dodgers,L,0.549382716,47.3,26.91,0.326,0.561728395,46.3,32.05,0.314
Rockies,Giants,L,0.462962963,48.8,26.66,0.339,0.537037037,43.5,28.27,0.315
Tigers,Indians,L,0.534161491,48,27.31,0.33,0.583850932,46.4,30.09,0.326
Braves,Phillies,W,0.422360248,45.5,26.35,0.304,0.438271605,47,28.53,0.296
Marlins,Mets,W,0.49068323,46.1,28.77,0.309,0.537037037,45.9,29.76,0.315
Athletics,Twins,W,0.425925926,43.6,26.37,0.302,0.364197531,47.9,26.48,0.317
Reds,Cubs,L,0.419753086,46.7,26.46,0.311,0.635802469,46.7,30.36,0.333
Orioles,Dodgers,L,0.549382716,47.3,26.91,0.326,0.561728395,46.3,32.05,0.314
Brewers,Nationals,W,0.450617284,49.9,25.31,0.315,0.586419753,45.8,31.17,0.322
Royals,BlueJays,W,0.5,46.3,27.5,0.307,0.549382716,46.7,28.14,0.327
Angels,Rays,L,0.456790123,42.4,25.16,0.314,0.419753086,48.8,29.26,0.315
Rangers,RedSox,W,0.586419753,46.2,25.24,0.324,0.574074074,46.6,29.18,0.346
Yankees,WhiteSox,W,0.518518519,44.8,30.4,0.311,0.481481481,46.7,27.06,0.314
Mariners,Astros,W,0.530864198,46.6,28.27,0.325,0.518518519,48.1,29.74,0.317
Pirates,Cardinals,L,0.481481481,47,26.13,0.318,0.530864198,46.7,27.7,0.329
Rockies,Giants,W,0.462962963,48.8,26.66,0.339,0.537037037,43.5,28.27,0.315
Angels,Rays,L,0.456790123,42.4,25.16,0.314,0.419753086,48.8,29.26,0.315
Pirates,Cardinals,W,0.481481481,47,26.13,0.318,0.530864198,46.7,27.7,0.329
Tigers,BlueJays,W,0.534161491,48,27.31,0.33,0.549382716,46.7,28.14,0.327
Yankees,Indians,L,0.518518519,44.8,30.4,0.311,0.583850932,46.4,30.09,0.326
