AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,W%,B_index,LV2,wOBA
Dodgers,Athletics,L,0.561728395,46.3,32.05,0.314,0.425925926,43.6,26.37,0.302
Padres,Indians,W,0.419753086,48.5,26.19,0.297,0.583850932,46.4,30.09,0.326
Giants,Brewers,L,0.537037037,43.5,28.27,0.315,0.450617284,49.9,25.31,0.315
Cubs,Mariners,W,0.635802469,46.7,30.36,0.333,0.530864198,46.6,28.27,0.325
Reds,Rockies,L,0.419753086,46.7,26.46,0.311,0.462962963,48.8,26.66,0.339
Astros,Nationals,L,0.518518519,48.1,29.74,0.317,0.586419753,45.8,31.17,0.322
Braves,Cardinals,W,0.422360248,45.5,26.35,0.304,0.530864198,46.7,27.7,0.329
Orioles,Yankees,W,0.549382716,47.3,26.91,0.326,0.518518519,44.8,30.4,0.311
Tigers,Astros,W,0.534161491,48,27.31,0.33,0.518518519,48.1,29.74,0.317
Marlins,Twins,L,0.49068323,46.1,28.77,0.309,0.364197531,47.9,26.48,0.317
Mets,Nationals,W,0.537037037,45.9,29.76,0.315,0.586419753,45.8,31.17,0.322
Phillies,Braves,L,0.438271605,47,28.53,0.296,0.422360248,45.5,26.35,0.304
Rays,Pirates,W,0.419753086,48.8,29.26,0.315,0.481481481,47,26.13,0.318
RedSox,BlueJays,W,0.574074074,46.6,29.18,0.346,0.549382716,46.7,28.14,0.327
Reds,Cubs,W,0.419753086,46.7,26.46,0.311,0.635802469,46.7,30.36,0.333
Angels,Dodgers,L,0.456790123,42.4,25.16,0.314,0.561728395,46.3,32.05,0.314
Athletics,Reds,L,0.425925926,43.6,26.37,0.302,0.419753086,46.7,26.46,0.311
Mariners,Giants,L,0.530864198,46.6,28.27,0.325,0.537037037,43.5,28.27,0.315
Rangers,Brewers,L,0.586419753,46.2,25.24,0.324,0.450617284,49.9,25.31,0.315
WhiteSox,Padres,L,0.481481481,46.7,27.06,0.314,0.419753086,48.5,26.19,0.297
Indians,Rockies,W,0.583850932,46.4,30.09,0.326,0.462962963,48.8,26.66,0.339
Astros,Cardinals,W,0.518518519,48.1,29.74,0.317,0.530864198,46.7,27.7,0.329
Marlins,RedSox,L,0.49068323,46.1,28.77,0.309,0.574074074,46.6,29.18,0.346
Twins,Orioles,W,0.364197531,47.9,26.48,0.317,0.549382716,47.3,26.91,0.326
Yankees,Rays,W,0.518518519,44.8,30.4,0.311,0.419753086,48.8,29.26,0.315
Pirates,Tigers,W,0.481481481,47,26.13,0.318,0.534161491,48,27.31,0.33
BlueJays,Phillies,W,0.549382716,46.7,28.14,0.327,0.438271605,47,28.53,0.296
Cardinals,Mets,L,0.530864198,46.7,27.7,0.329,0.537037037,45.9,29.76,0.315
WhiteSox,Cubs,W,0.481481481,46.7,27.06,0.314,0.635802469,46.7,30.36,0.333
Rockies,Brewers,W,0.462962963,48.8,26.66,0.339,0.450617284,49.9,25.31,0.315
Athletics,Rangers,W,0.425925926,43.6,26.37,0.302,0.586419753,46.2,25.24,0.324
Giants,Angels,W,0.537037037,43.5,28.27,0.315,0.456790123,42.4,25.16,0.314
Indians,Padres,W,0.583850932,46.4,30.09,0.326,0.419753086,48.5,26.19,0.297
Nationals,Braves,L,0.586419753,45.8,31.17,0.322,0.422360248,45.5,26.35,0.304
Cubs,Dodgers,W,0.635802469,46.7,30.36,0.333,0.561728395,46.3,32.05,0.314
Mariners,Reds,L,0.530864198,46.6,28.27,0.325,0.419753086,46.7,26.46,0.311
Dodgers,Mariners,L,0.561728395,46.3,32.05,0.314,0.530864198,46.6,28.27,0.325
Braves,Astros,W,0.422360248,45.5,26.35,0.304,0.518518519,48.1,29.74,0.317
Orioles,Twins,W,0.549382716,47.3,26.91,0.326,0.364197531,47.9,26.48,0.317
RedSox,Rays,W,0.574074074,46.6,29.18,0.346,0.419753086,48.8,29.26,0.315
