AWAY,HOME,HOME_TEAM_RESULT,W%,BABIP,ERA,K%,K%,AVG,SLG,W%,BABIP,ERA,K%,K%,AVG,SLG
Royals,Athletics,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Angels,Reds,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Padres,Brewers,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Giants,Rangers,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Cubs,Rockies,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
WhiteSox,Angels,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
RedSox,Orioles,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Mets,Braves,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Yankees,Marlins,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394
Pirates,Phillies,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.438271605,0.304,4.64,21.1,23,0.24,0.385
Cardinals,Twins,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Rays,Tigers,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
Nationals,Astros,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Twins,BlueJays,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
Rockies,Royals,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Dodgers,Cubs,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Brewers,WhiteSox,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Mariners,Indians,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43
Rangers,Athletics,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Reds,Giants,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Braves,Astros,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Orioles,Phillies,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.438271605,0.304,4.64,21.1,23,0.24,0.385
RedSox,Pirates,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
Marlins,Cardinals,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Phillies,Twins,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
BlueJays,Rays,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Nationals,Tigers,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
Yankees,Mets,D,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.537037037,0.308,3.58,23,21.3,0.246,0.417
Indians,Cubs,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Rockies,Giants,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Brewers,Royals,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,0.5,0.298,4.21,20.8,20.2,0.261,0.4
Athletics,WhiteSox,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Rangers,Reds,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Royals,Mariners,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Dodgers,Angels,D,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Braves,Marlins,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394
Tigers,Phillies,D,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.438271605,0.304,4.64,21.1,23,0.24,0.385
Twins,RedSox,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Yankees,Orioles,D,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Pirates,Rays,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
BlueJays,Yankees,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Cardinals,Mets,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.537037037,0.308,3.58,23,21.3,0.246,0.417
WhiteSox,Rangers,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Royals,WhiteSox,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,0.481481481,0.298,4.12,20.5,21,0.257,0.41
Dodgers,Athletics,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,0.425925926,0.299,4.51,19.3,19,0.246,0.395
Padres,Indians,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43
Giants,Brewers,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Cubs,Mariners,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Reds,Rockies,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Astros,Nationals,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Braves,Cardinals,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Orioles,Yankees,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405
Tigers,Astros,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
Marlins,Twins,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421
Mets,Nationals,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426
Phillies,Braves,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Rays,Pirates,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402
RedSox,BlueJays,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426
Reds,Cubs,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Angels,Dodgers,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Athletics,Reds,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Mariners,Giants,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398
Rangers,Brewers,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,0.450617284,0.3,4.1,19,25.5,0.244,0.407
WhiteSox,Padres,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Indians,Rockies,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457
Astros,Cardinals,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443
Marlins,RedSox,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,0.574074074,0.293,4,22.4,18.4,0.282,0.461
Twins,Orioles,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443
Yankees,Rays,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426
Pirates,Tigers,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438
BlueJays,Phillies,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,0.438271605,0.304,4.64,21.1,23,0.24,0.385
Cardinals,Mets,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,0.537037037,0.308,3.58,23,21.3,0.246,0.417
WhiteSox,Cubs,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429
Rockies,Brewers,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,0.450617284,0.3,4.1,19,25.5,0.244,0.407
Athletics,Rangers,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,0.586419753,0.292,4.38,18.7,20,0.262,0.433
Giants,Angels,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405
Indians,Padres,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,0.419753086,0.296,4.44,19.6,25,0.235,0.39
Nationals,Braves,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,0.422360248,0.293,4.51,19.6,20,0.255,0.384
Cubs,Dodgers,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409
Mariners,Reds,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408
Dodgers,Mariners,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,0.530864198,0.292,4,21.4,20.7,0.259,0.43
Braves,Astros,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417
