AWAY,HOME,HOME_TEAM_RESULT,W%,BABIP,ERA,K%,K%,AVG,SLG,P_Index,B_index,W%,BABIP,ERA,K%,K%,AVG,SLG,P_Index,B_index
Braves,Phillies,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Twins,Pirates,D,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Yankees,Tigers,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Cardinals,Astros,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Rays,RedSox,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Nationals,Marlins,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Orioles,BlueJays,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Marlins,Mets,D,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Indians,WhiteSox,D,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
Rockies,Athletics,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Angels,Cubs,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Dodgers,Rangers,D,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Giants,Reds,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Mariners,Brewers,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Royals,Padres,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5
Orioles,Twins,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
RedSox,Yankees,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Tigers,Nationals,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Mets,Astros,L,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Pirates,Braves,L,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Cardinals,Marlins,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Phillies,BlueJays,W,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
WhiteSox,Royals,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Reds,Cubs,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Brewers,Athletics,D,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Giants,Indians,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Rangers,Giants,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Angels,Mariners,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Padres,Rockies,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Rays,Orioles,L,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Orioles,RedSox,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Astros,Pirates,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Marlins,Tigers,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Twins,Rays,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Yankees,Phillies,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
BlueJays,Astros,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Nationals,Cardinals,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Braves,Mets,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Indians,Brewers,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Rockies,Reds,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Dodgers,Giants,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Padres,WhiteSox,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
Mariners,Rangers,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Royals,Angels,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Athletics,Padres,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5
Astros,Yankees,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Marlins,Nationals,W,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Twins,Orioles,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Mets,Cardinals,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Phillies,Pirates,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Rays,RedSox,L,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Braves,BlueJays,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Tigers,Mets,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Indians,Dodgers,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Royals,Cubs,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Royals,Athletics,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Angels,Reds,W,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Padres,Brewers,L,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Giants,Rangers,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Cubs,Rockies,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
WhiteSox,Angels,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
RedSox,Orioles,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Mets,Braves,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Yankees,Marlins,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Pirates,Phillies,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Cardinals,Twins,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Rays,Tigers,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Nationals,Astros,L,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Twins,BlueJays,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Rockies,Royals,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Dodgers,Cubs,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Brewers,WhiteSox,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
Mariners,Indians,W,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Rangers,Athletics,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Reds,Giants,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Braves,Astros,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Orioles,Phillies,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
RedSox,Pirates,L,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
Marlins,Cardinals,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Phillies,Twins,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
BlueJays,Rays,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Nationals,Tigers,W,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
Yankees,Mets,D,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
Indians,Cubs,L,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Rockies,Giants,L,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Brewers,Royals,W,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3
Athletics,WhiteSox,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
Rangers,Reds,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Royals,Mariners,W,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Dodgers,Angels,D,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Braves,Marlins,L,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1
Tigers,Phillies,D,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Twins,RedSox,L,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Yankees,Orioles,D,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Pirates,Rays,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
BlueJays,Yankees,L,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Cardinals,Mets,W,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
WhiteSox,Rangers,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Royals,WhiteSox,L,0.5,0.298,4.21,20.8,20.2,0.261,0.4,25.01,46.3,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7
Dodgers,Athletics,L,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6
Padres,Indians,W,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4
Giants,Brewers,L,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Cubs,Mariners,W,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6
Reds,Rockies,L,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Astros,Nationals,L,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Braves,Cardinals,W,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Orioles,Yankees,W,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8
Tigers,Astros,W,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1
Marlins,Twins,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9
Mets,Nationals,W,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9,0.586419753,0.288,3.52,24.5,20.2,0.256,0.426,28.02,45.8
Phillies,Braves,L,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47,0.422360248,0.293,4.51,19.6,20,0.255,0.384,24.11,45.5
Rays,Pirates,W,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47
RedSox,BlueJays,W,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7
Reds,Cubs,W,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Angels,Dodgers,L,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4,0.561728395,0.288,3.7,25.1,21.4,0.249,0.409,28.8,46.3
Athletics,Reds,L,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.419753086,0.29,4.91,19.6,21.1,0.256,0.408,24.51,46.7
Mariners,Giants,L,0.530864198,0.292,4,21.4,20.7,0.259,0.43,25.4,46.6,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5
Rangers,Brewers,L,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
WhiteSox,Padres,L,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5
Indians,Rockies,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8
Astros,Cardinals,W,0.518518519,0.306,4.06,22.6,23.4,0.247,0.417,26.66,48.1,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7
Marlins,RedSox,L,0.49068323,0.303,4.05,22.4,19.8,0.263,0.394,26.45,46.1,0.574074074,0.293,4,22.4,18.4,0.282,0.461,26.4,46.6
Twins,Orioles,W,0.364197531,0.319,5.09,18.9,22.8,0.251,0.421,23.99,47.9,0.549382716,0.299,4.22,20.4,21.7,0.256,0.443,24.62,47.3
Yankees,Rays,W,0.518518519,0.292,4.16,23.1,19.6,0.252,0.405,27.26,44.8,0.419753086,0.297,4.2,22.3,24.5,0.243,0.426,26.5,48.8
Pirates,Tigers,W,0.481481481,0.306,4.22,19.6,21.3,0.257,0.402,23.82,47,0.534161491,0.3,4.24,20.4,21.3,0.267,0.438,24.64,48
BlueJays,Phillies,W,0.549382716,0.282,3.79,21.5,21.9,0.248,0.426,25.29,46.7,0.438271605,0.304,4.64,21.1,23,0.24,0.385,25.74,47
Cardinals,Mets,L,0.530864198,0.304,4.08,20.9,21.2,0.255,0.443,24.98,46.7,0.537037037,0.308,3.58,23,21.3,0.246,0.417,26.58,45.9
WhiteSox,Cubs,W,0.481481481,0.298,4.12,20.5,21,0.257,0.41,24.62,46.7,0.635802469,0.255,3.15,24.3,21.1,0.256,0.429,27.45,46.7
Rockies,Brewers,W,0.462962963,0.317,4.92,19.5,21.3,0.275,0.457,24.42,48.8,0.450617284,0.3,4.1,19,25.5,0.244,0.407,23.1,49.9
Athletics,Rangers,W,0.425925926,0.299,4.51,19.3,19,0.246,0.395,23.81,43.6,0.586419753,0.292,4.38,18.7,20,0.262,0.433,23.08,46.2
Giants,Angels,W,0.537037037,0.287,3.69,21.6,17.7,0.258,0.398,25.29,43.5,0.456790123,0.301,4.28,18.6,16.4,0.26,0.405,22.88,42.4
Indians,Padres,W,0.583850932,0.289,3.86,23.2,20.2,0.262,0.43,27.06,46.4,0.419753086,0.296,4.44,19.6,25,0.235,0.39,24.04,48.5
