AWAY,HOME,HOME_TEAM_RESULT,W%,Off,K%,AVG
Reds,Brewers,L,0.030864198,20.2,4.4,-0.012
Angels,Royals,W,0.043209877,-59,3.8,0.001
Athletics,Indians,W,0.157925006,131.5,1.2,0.016
Rockies,Angels,D,-0.00617284,17.7,-4.9,-0.015
Rangers,Mariners,W,-0.055555556,52.9,0.7,-0.003
Nationals,Mets,L,-0.049382716,-17.4,1.1,-0.01
Orioles,Yankees,L,-0.030864198,-65,-2.1,-0.004
Royals,Rangers,W,0.086419753,70.1,-0.2,0.001
Padres,Giants,W,0.117283951,54.8,-7.3,0.023
Braves,Yankees,W,0.09615827,63.6,-0.4,-0.003
Cardinals,RedSox,W,0.043209877,98.5,-2.8,0.027
Royals,Rangers,W,0.086419753,70.1,-0.2,0.001
Reds,Athletics,W,0.00617284,-22.2,-2.1,-0.01
Dodgers,WhiteSox,W,-0.080246914,-11.5,-0.4,0.008
Athletics,Giants,L,0.111111111,77.9,-1.3,0.012
Mariners,Royals,W,-0.030864198,-123,-0.5,0.002
Rockies,Padres,D,-0.043209877,-35.4,3.7,-0.04
Brewers,Angels,W,0.00617284,33.8,-9.1,0.016
Cubs,Indians,W,-0.051951537,-26.3,-0.9,0.006
Tigers,Braves,L,-0.111801242,-125.1,-1.3,-0.012
Astros,Phillies,W,-0.080246914,-139.5,-0.4,-0.007
Marlins,Cardinals,L,0.040180968,73.8,1.4,-0.008
Yankees,Twins,L,-0.154320988,18.7,3.2,-0.001
Rays,Orioles,D,0.12962963,30.4,-2.8,0.013
Nationals,Tigers,W,-0.052258262,22.4,1.1,0.011
Pirates,BlueJays,W,0.067901235,41.5,0.6,-0.009
RedSox,Mets,L,-0.037037037,-142.9,2.9,-0.036
WhiteSox,Athletics,L,-0.055555556,-72.6,-2,-0.011
Royals,Cubs,W,0.135802469,140.6,0.9,-0.005
Angels,Rangers,L,0.12962963,11.1,3.6,0.002
Dodgers,Brewers,W,-0.111111111,-41.7,4.1,-0.005
Padres,Dodgers,L,0.141975309,61,-3.6,0.014
Indians,Mariners,L,-0.052986734,8.7,0.5,-0.003
Giants,Rockies,L,-0.074074074,-19.4,3.6,0.017
Braves,Pirates,L,0.059121233,82.3,1.3,0.002
RedSox,Cardinals,L,-0.043209877,-98.5,2.8,-0.027
Astros,Nationals,W,0.067901235,-6.9,-3.2,0.009
Phillies,Tigers,L,0.095889886,155,-1.7,0.027
Pirates,Twins,L,-0.117283951,0,1.5,-0.006
Marlins,Mets,L,0.046353807,29.4,1.5,-0.017
WhiteSox,Indians,W,0.10236945,58.9,-0.8,0.005
Rockies,Rangers,L,0.12345679,28.8,-1.3,-0.013
Angels,Brewers,W,-0.00617284,-33.8,9.1,-0.016
Athletics,Giants,L,0.111111111,77.9,-1.3,0.012
Mariners,Dodgers,L,0.030864198,-56.1,0.7,-0.01
Reds,Padres,W,0,0.9,3.9,-0.021
Braves,Astros,W,0.09615827,109.6,3.4,-0.008
Orioles,Twins,W,-0.185185185,-46.3,1.1,-0.005
RedSox,Marlins,W,-0.083390844,-172.3,1.4,-0.019
Twins,Phillies,L,0.074074074,-112.2,0.2,-0.011
BlueJays,Tigers,L,-0.015221225,1.3,-0.6,0.019
Cubs,Reds,L,-0.216049383,-135.6,0,0
Giants,WhiteSox,W,-0.055555556,-5.3,3.3,-0.001
Brewers,Rockies,W,0.012345679,16.1,-4.2,0.031
Athletics,Angels,W,0.030864198,76.2,-2.6,0.014
Rangers,Padres,W,-0.166666667,-64.2,5,-0.027
Mets,Yankees,W,-0.018518519,-21.7,-1.7,0.006
Dodgers,Royals,W,-0.061728395,-66.9,-1.2,0.012
Orioles,Pirates,W,-0.067901235,-46.3,-0.4,0.001
Marlins,Cardinals,W,0.040180968,73.8,1.4,-0.008
Rays,Twins,L,-0.055555556,-15.9,-1.7,0.008
Mets,BlueJays,W,0.012345679,38.5,0.6,0.002
Cubs,Rangers,W,-0.049382716,-70.5,-1.1,0.006
Royals,Indians,W,0.083850932,114.3,0,0.001
Padres,WhiteSox,W,0.061728395,49.5,-4,0.022
Yankees,Nationals,W,0.067901235,39.1,0.6,0.004
Phillies,Astros,W,0.080246914,139.5,0.4,0.007
Athletics,Mariners,L,0.104938272,140.2,1.7,0.013
Twins,Marlins,L,0.126485699,-26.4,-3,0.012
Mets,RedSox,W,0.037037037,142.9,-2.9,0.036
Pirates,Orioles,W,0.067901235,46.3,0.4,-0.001
Cardinals,Nationals,W,0.055555556,-27,-1,0.001
Tigers,BlueJays,W,0.015221225,-1.3,0.6,-0.019
Astros,Mets,L,0.018518519,-24.3,-2.1,-0.001
Reds,Rangers,W,0.166666667,65.1,-1.1,0.006
Royals,Brewers,W,-0.049382716,25.2,5.3,-0.017
Angels,WhiteSox,L,0.024691358,-3.6,4.6,-0.003
Mariners,Rockies,L,-0.067901235,-81.7,0.6,0.016
Rays,Yankees,L,0.098765432,-34.6,-4.9,0.009
Cubs,Giants,L,-0.098765432,-79.9,-3.4,0.002
Dodgers,Indians,D,0.022122537,47.4,-1.2,0.013
Rangers,Athletics,L,-0.160493827,-87.3,-1,-0.016
Astros,Braves,D,-0.09615827,-109.6,-3.4,0.008
Twins,Rays,L,0.055555556,15.9,1.7,-0.008
Yankees,Orioles,W,0.030864198,65,2.1,0.004
Cardinals,Mets,D,0.00617284,-44.4,0.1,-0.009
Rockies,Reds,L,-0.043209877,-36.3,-0.2,-0.019
Royals,Giants,W,0.037037037,60.7,-2.5,-0.003
Angels,Athletics,L,-0.030864198,-76.2,2.6,-0.014
Brewers,Cubs,L,0.185185185,115.4,-4.4,0.012
WhiteSox,Mariners,W,0.049382716,67.6,-0.3,0.002
Pirates,RedSox,W,0.092592593,145.9,-2.9,0.025
BlueJays,Phillies,D,-0.111111111,-153.7,1.1,-0.008
Padres,Rangers,W,0.166666667,64.2,-5,0.027
Giants,Dodgers,W,0.024691358,6.2,3.7,-0.009
RedSox,Orioles,W,-0.024691358,-99.6,3.3,-0.026
Tigers,Phillies,L,-0.095889886,-155,1.7,-0.027
Mets,Braves,D,-0.114676789,-85.3,-1.3,0.009
Pirates,Twins,W,-0.117283951,0,1.5,-0.006
Nationals,Cardinals,L,-0.055555556,27,1,-0.001
Yankees,BlueJays,L,0.030864198,60.2,2.3,-0.004
Reds,WhiteSox,L,0.061728395,50.4,-0.1,0.001
Indians,Reds,W,-0.164097845,-109.3,0.9,-0.006
Athletics,Royals,W,0.074074074,17.2,1.2,0.015
Giants,Cubs,L,0.098765432,79.9,3.4,-0.002
Dodgers,Mariners,W,-0.030864198,56.1,-0.7,0.01
Padres,Angels,W,0.037037037,53.1,-8.6,0.025
Rangers,Rockies,W,-0.12345679,-28.8,1.3,0.013
Rays,Pirates,L,0.061728395,-15.9,-3.2,0.014
Padres,Astros,W,0.098765432,78.6,-1.6,0.012
WhiteSox,Dodgers,W,0.080246914,11.5,0.4,-0.008
Braves,Nationals,W,0.164059505,102.7,0.2,0.001
Astros,Tigers,L,0.015642972,15.5,-2.1,0.02
Twins,Yankees,L,0.154320988,-18.7,-3.2,0.001
Phillies,RedSox,W,0.135802469,258.1,-4.6,0.042
Cardinals,Marlins,W,-0.040180968,-73.8,-1.4,0.008
BlueJays,Rays,L,-0.12962963,-25.6,2.6,-0.005
Nationals,Mets,D,-0.049382716,-17.4,1.1,-0.01
Astros,Padres,W,-0.098765432,-78.6,1.6,-0.012
WhiteSox,Giants,L,0.055555556,5.3,-3.3,0.001
Reds,Dodgers,L,0.141975309,61.9,0.3,-0.007
Royals,Athletics,W,-0.074074074,-17.2,-1.2,-0.015
Brewers,Indians,W,0.133233648,89.1,-5.3,0.018
Mariners,Cubs,L,0.104938272,17.6,0.4,-0.003
Angels,Padres,L,-0.037037037,-53.1,8.6,-0.025
Orioles,Pirates,L,-0.067901235,-46.3,-0.4,0.001
Orioles,RedSox,L,0.024691358,99.6,-3.3,0.026
Twins,Pirates,L,0.117283951,0,-1.5,0.006
Mets,Cardinals,W,-0.00617284,44.4,-0.1,0.009
Phillies,BlueJays,W,0.111111111,153.7,-1.1,0.008
Indians,Athletics,L,-0.157925006,-131.5,-1.2,-0.016
Padres,Royals,W,0.080246914,-5.9,-4.8,0.026
Cubs,Angels,D,-0.179012346,-81.6,-4.7,0.004
WhiteSox,Rockies,L,-0.018518519,-14.1,0.3,0.018
Royals,Mariners,W,0.030864198,123,0.5,-0.002
Astros,Braves,L,-0.09615827,-109.6,-3.4,0.008
Tigers,Yankees,W,-0.015642972,-61.5,-1.7,-0.015
Brewers,Reds,W,-0.030864198,-20.2,-4.4,0.012
Rangers,Dodgers,W,-0.024691358,-3.2,1.4,-0.013
RedSox,Twins,W,-0.209876543,-145.9,4.4,-0.031
Pirates,Yankees,W,0.037037037,-18.7,-1.7,-0.005
Marlins,Mets,L,0.046353807,29.4,1.5,-0.017
Indians,Angels,D,-0.127060808,-55.3,-3.8,-0.002
Reds,Brewers,L,0.030864198,20.2,4.4,-0.012
Athletics,Cubs,W,0.209876543,157.8,2.1,0.01
Rangers,WhiteSox,W,-0.104938272,-14.7,1,-0.005
Dodgers,Padres,W,-0.141975309,-61,3.6,-0.014
Braves,Orioles,D,0.127022468,128.6,1.7,0.001
Giants,Royals,W,-0.037037037,-60.7,2.5,0.003
Mariners,Indians,W,0.052986734,-8.7,-0.5,0.003
Nationals,Mets,L,-0.049382716,-17.4,1.1,-0.01
RedSox,Pirates,D,-0.092592593,-145.9,2.9,-0.025
RedSox,Rays,W,-0.154320988,-130,6.1,-0.039
Astros,Phillies,W,-0.080246914,-139.5,-0.4,-0.007
Yankees,Braves,L,-0.09615827,-63.6,0.4,0.003
Cardinals,Marlins,L,-0.040180968,-73.8,-1.4,0.008
BlueJays,Twins,W,-0.185185185,-41.5,0.9,0.003
Royals,Rangers,W,0.086419753,70.1,-0.2,0.001
Padres,Mariners,L,0.111111111,117.1,-4.3,0.024
WhiteSox,Reds,W,-0.061728395,-50.4,0.1,-0.001
Indians,Dodgers,L,-0.022122537,-47.4,1.2,-0.013
Rockies,Cubs,W,0.172839506,99.3,-0.2,-0.019
